GEOID,NAME,state_name,race_total,white_non_hispanic,black_alone,asian_alone,hispanic_latino
34003031300,Census Tract 313; Bergen County; New Jersey,New Jersey,6207,3476,125,268,2310
34003031400,Census Tract 314; Bergen County; New Jersey,New Jersey,4855,3346,17,128,1298
34003032102,Census Tract 321.02; Bergen County; New Jersey,New Jersey,6017,4415,99,384,799
34003032103,Census Tract 321.03; Bergen County; New Jersey,New Jersey,4436,3572,154,288,379
34003032104,Census Tract 321.04; Bergen County; New Jersey,New Jersey,4189,2493,295,448,787
34003032201,Census Tract 322.01; Bergen County; New Jersey,New Jersey,5591,4393,22,787,319
34003032202,Census Tract 322.02; Bergen County; New Jersey,New Jersey,5238,3329,55,896,621
34003033100,Census Tract 331; Bergen County; New Jersey,New Jersey,4099,2399,253,384,875
34003033200,Census Tract 332; Bergen County; New Jersey,New Jersey,2399,1159,89,356,785
34003033300,Census Tract 333; Bergen County; New Jersey,New Jersey,3542,1544,92,1003,866
34003034001,Census Tract 340.01; Bergen County; New Jersey,New Jersey,2569,1998,22,53,429
34003034002,Census Tract 340.02; Bergen County; New Jersey,New Jersey,4453,3777,70,122,378
34003035100,Census Tract 351; Bergen County; New Jersey,New Jersey,8413,6024,154,1096,983
34003035200,Census Tract 352; Bergen County; New Jersey,New Jersey,6096,4826,109,267,435
34003036100,Census Tract 361; Bergen County; New Jersey,New Jersey,2693,1110,41,113,1402
34003036200,Census Tract 362; Bergen County; New Jersey,New Jersey,3093,858,34,270,1893
34003037100,Census Tract 371; Bergen County; New Jersey,New Jersey,5496,3035,331,813,846
34003037201,Census Tract 372.01; Bergen County; New Jersey,New Jersey,4246,1963,67,857,1192
34003037203,Census Tract 372.03; Bergen County; New Jersey,New Jersey,3631,2403,124,456,526
34003037204,Census Tract 372.04; Bergen County; New Jersey,New Jersey,3515,1137,167,1284,757
34003038100,Census Tract 381; Bergen County; New Jersey,New Jersey,5679,3298,0,559,1416
34003038200,Census Tract 382; Bergen County; New Jersey,New Jersey,4533,1861,157,312,2144
34003038300,Census Tract 383; Bergen County; New Jersey,New Jersey,6140,4231,1,409,1499
34003039100,Census Tract 391; Bergen County; New Jersey,New Jersey,4039,3007,62,243,470
34003039200,Census Tract 392; Bergen County; New Jersey,New Jersey,5761,4822,37,122,732
34003039300,Census Tract 393; Bergen County; New Jersey,New Jersey,2934,2458,9,83,289
34003040001,Census Tract 400.01; Bergen County; New Jersey,New Jersey,3709,2579,93,374,447
34003040002,Census Tract 400.02; Bergen County; New Jersey,New Jersey,4499,3545,15,595,239
34003041100,Census Tract 411; Bergen County; New Jersey,New Jersey,5403,831,244,3572,726
34003041200,Census Tract 412; Bergen County; New Jersey,New Jersey,4851,662,75,3074,1017
34003041301,Census Tract 413.01; Bergen County; New Jersey,New Jersey,5724,993,56,3463,1090
34003041302,Census Tract 413.02; Bergen County; New Jersey,New Jersey,4253,825,11,2453,941
34003042101,Census Tract 421.01; Bergen County; New Jersey,New Jersey,2933,1892,0,613,321
34003042102,Census Tract 421.02; Bergen County; New Jersey,New Jersey,5004,2886,77,1216,689
34003042301,Census Tract 423.01; Bergen County; New Jersey,New Jersey,4495,2486,27,1262,672
34003042302,Census Tract 423.02; Bergen County; New Jersey,New Jersey,5595,3244,493,1199,550
34003042400,Census Tract 424; Bergen County; New Jersey,New Jersey,4271,2623,85,852,487
34003042500,Census Tract 425; Bergen County; New Jersey,New Jersey,4284,1751,185,1147,1079
34003043001,Census Tract 430.01; Bergen County; New Jersey,New Jersey,4073,3355,2,235,443
34003043002,Census Tract 430.02; Bergen County; New Jersey,New Jersey,5025,3933,131,153,740
34003044100,Census Tract 441; Bergen County; New Jersey,New Jersey,5971,4327,42,552,758
34003044201,Census Tract 442.01; Bergen County; New Jersey,New Jersey,3691,2728,9,156,197
34003044202,Census Tract 442.02; Bergen County; New Jersey,New Jersey,5077,4129,41,420,411
34003045101,Census Tract 451.01; Bergen County; New Jersey,New Jersey,4233,1721,36,1368,1108
34003045102,Census Tract 451.02; Bergen County; New Jersey,New Jersey,4218,1258,52,954,1764
34003045200,Census Tract 452; Bergen County; New Jersey,New Jersey,3014,663,30,1080,1227
34003046100,Census Tract 461; Bergen County; New Jersey,New Jersey,4095,1621,98,336,1865
34003046200,Census Tract 462; Bergen County; New Jersey,New Jersey,4400,1826,185,286,2037
34003046300,Census Tract 463; Bergen County; New Jersey,New Jersey,4666,978,518,280,2889
34003047100,Census Tract 471; Bergen County; New Jersey,New Jersey,6240,3763,178,1150,782
34003047200,Census Tract 472; Bergen County; New Jersey,New Jersey,4570,3636,0,555,305
34003047300,Census Tract 473; Bergen County; New Jersey,New Jersey,3286,2392,0,360,421
34003047400,Census Tract 474; Bergen County; New Jersey,New Jersey,4946,3667,94,746,156
34003047500,Census Tract 475; Bergen County; New Jersey,New Jersey,7001,5001,169,1216,423
34003048100,Census Tract 481; Bergen County; New Jersey,New Jersey,4082,1982,52,1608,348
34003048200,Census Tract 482; Bergen County; New Jersey,New Jersey,7940,4655,575,1982,423
34003049001,Census Tract 490.01; Bergen County; New Jersey,New Jersey,4523,3427,0,453,484
34003049002,Census Tract 490.02; Bergen County; New Jersey,New Jersey,5362,3769,149,786,411
34003050000,Census Tract 500; Bergen County; New Jersey,New Jersey,5790,3321,264,506,1433
34003051100,Census Tract 511; Bergen County; New Jersey,New Jersey,6380,4252,148,811,1047
34003051200,Census Tract 512; Bergen County; New Jersey,New Jersey,2615,1866,44,264,373
34003051300,Census Tract 513; Bergen County; New Jersey,New Jersey,4850,2210,156,1083,1234
34003051400,Census Tract 514; Bergen County; New Jersey,New Jersey,4909,2449,115,710,1319
34003052100,Census Tract 521; Bergen County; New Jersey,New Jersey,7556,4960,71,299,2031
34003052200,Census Tract 522; Bergen County; New Jersey,New Jersey,6764,4219,491,462,1318
34003053100,Census Tract 531; Bergen County; New Jersey,New Jersey,3363,2369,172,415,254
34003053201,Census Tract 532.01; Bergen County; New Jersey,New Jersey,4709,3350,232,671,289
34003053202,Census Tract 532.02; Bergen County; New Jersey,New Jersey,3604,2606,0,467,368
34003054101,Census Tract 541.01; Bergen County; New Jersey,New Jersey,4864,223,2874,75,1131
34003054102,Census Tract 541.02; Bergen County; New Jersey,New Jersey,3474,1552,1150,411,232
34003054200,Census Tract 542; Bergen County; New Jersey,New Jersey,5359,1427,1564,541,1646
34003054300,Census Tract 543; Bergen County; New Jersey,New Jersey,7162,6264,140,47,283
34003054400,Census Tract 544; Bergen County; New Jersey,New Jersey,7756,2467,1413,739,2945
34003054500,Census Tract 545; Bergen County; New Jersey,New Jersey,4567,2629,731,418,669
34003054601,Census Tract 546.01; Bergen County; New Jersey,New Jersey,2852,897,42,603,1187
34003054602,Census Tract 546.02; Bergen County; New Jersey,New Jersey,5393,1644,682,982,1990
34003055100,Census Tract 551; Bergen County; New Jersey,New Jersey,6885,4827,72,1581,186
34003055201,Census Tract 552.01; Bergen County; New Jersey,New Jersey,4067,2244,55,994,698
34003055202,Census Tract 552.02; Bergen County; New Jersey,New Jersey,4347,1973,0,2181,193
34003056100,Census Tract 561; Bergen County; New Jersey,New Jersey,5027,4056,12,190,650
34003056200,Census Tract 562; Bergen County; New Jersey,New Jersey,5041,3552,94,557,828
34003057101,Census Tract 571.01; Bergen County; New Jersey,New Jersey,4187,2448,303,457,832
34003057102,Census Tract 571.02; Bergen County; New Jersey,New Jersey,3991,3109,90,130,559
34003057200,Census Tract 572; Bergen County; New Jersey,New Jersey,3660,2412,30,29,1040
34003058100,Census Tract 581; Bergen County; New Jersey,New Jersey,3700,2999,105,167,399
34003058200,Census Tract 582; Bergen County; New Jersey,New Jersey,5568,4809,29,196,394
34003059100,Census Tract 591; Bergen County; New Jersey,New Jersey,5077,3000,311,637,800
34003059200,Census Tract 592; Bergen County; New Jersey,New Jersey,6164,4097,36,224,1523
34003060001,Census Tract 600.01; Bergen County; New Jersey,New Jersey,3373,2204,260,306,577
34003060002,Census Tract 600.02; Bergen County; New Jersey,New Jersey,6823,3731,38,1543,1262
34003061100,Census Tract 611; Bergen County; New Jersey,New Jersey,4781,4303,2,154,287
34003061200,Census Tract 612; Bergen County; New Jersey,New Jersey,3308,2780,0,96,364
34003061300,Census Tract 613; Bergen County; New Jersey,New Jersey,3794,3353,88,173,168
34003061400,Census Tract 614; Bergen County; New Jersey,New Jersey,4919,4241,0,392,244
34005700102,Census Tract 7001.02; Burlington County; New Jersey,New Jersey,2321,2070,19,36,93
34005700103,Census Tract 7001.03; Burlington County; New Jersey,New Jersey,2977,1909,344,167,464
34005700104,Census Tract 7001.04; Burlington County; New Jersey,New Jersey,2139,936,703,45,170
34005700200,Census Tract 7002; Burlington County; New Jersey,New Jersey,2764,2277,151,39,245
34005700303,Census Tract 7003.03; Burlington County; New Jersey,New Jersey,4242,3062,546,182,336
34005700304,Census Tract 7003.04; Burlington County; New Jersey,New Jersey,2389,1963,80,0,267
34005700305,Census Tract 7003.05; Burlington County; New Jersey,New Jersey,4804,4113,86,88,199
34005700306,Census Tract 7003.06; Burlington County; New Jersey,New Jersey,2878,2735,16,43,34
34005700307,Census Tract 7003.07; Burlington County; New Jersey,New Jersey,2756,2360,55,78,207
34005700401,Census Tract 7004.01; Burlington County; New Jersey,New Jersey,1869,1574,0,29,86
34005700402,Census Tract 7004.02; Burlington County; New Jersey,New Jersey,3602,2846,113,14,408
34005700403,Census Tract 7004.03; Burlington County; New Jersey,New Jersey,4525,3701,240,32,377
34005700405,Census Tract 7004.05; Burlington County; New Jersey,New Jersey,1716,1167,24,3,448
34005700407,Census Tract 7004.07; Burlington County; New Jersey,New Jersey,5478,2030,1295,778,916
34005700408,Census Tract 7004.08; Burlington County; New Jersey,New Jersey,2695,1343,222,486,316
34005700501,Census Tract 7005.01; Burlington County; New Jersey,New Jersey,5578,4454,68,141,527
34005700502,Census Tract 7005.02; Burlington County; New Jersey,New Jersey,2265,1928,5,162,151
34005700503,Census Tract 7005.03; Burlington County; New Jersey,New Jersey,3393,2438,492,78,241
34005700504,Census Tract 7005.04; Burlington County; New Jersey,New Jersey,3459,3105,80,57,85
34005700505,Census Tract 7005.05; Burlington County; New Jersey,New Jersey,6642,4922,106,1199,113
34005700602,Census Tract 7006.02; Burlington County; New Jersey,New Jersey,6916,4958,810,478,347
34005700603,Census Tract 7006.03; Burlington County; New Jersey,New Jersey,5961,4596,526,89,450
34005700605,Census Tract 7006.05; Burlington County; New Jersey,New Jersey,4917,4228,148,63,196
34005700701,Census Tract 7007.01; Burlington County; New Jersey,New Jersey,3403,2315,193,30,587
34005700702,Census Tract 7007.02; Burlington County; New Jersey,New Jersey,2328,952,415,186,686
34005700703,Census Tract 7007.03; Burlington County; New Jersey,New Jersey,2277,1437,115,0,454
34005700800,Census Tract 7008; Burlington County; New Jersey,New Jersey,4785,3167,1023,104,392
34005700900,Census Tract 7009; Burlington County; New Jersey,New Jersey,2502,1340,645,0,310
34005701001,Census Tract 7010.01; Burlington County; New Jersey,New Jersey,4760,2750,1368,27,244
34005701002,Census Tract 7010.02; Burlington County; New Jersey,New Jersey,4162,2489,910,54,505
